Actor Node | Step: 9400 | Output Action: [ 0.54750663 -0.28359824]
Actor Node | Step: 9500 | Output Action: [-0.50628257  0.35647616]
Actor Node | Step: 9600 | Output Action: [-0.32967177 -0.70338297]
Actor Node | Step: 9700 | Output Action: [-0.2629927  -0.08071908]
Actor Node | Step: 9800 | Output Action: [-0.56514955 -0.4267274 ]
Actor Node | Step: 9900 | Output Action: [-0.6958558  -0.63080275]
Actor Node | Step: 10000 | Output Action: [ 0.33978745 -0.6989643 ]
Actor Node | Step: 10100 | Output Action: [ 0.28906476 -0.12016933]
Actor Node | Step: 10200 | Output Action: [ 0.2774215 -0.6862075]
Actor Node | Step: 10300 | Output Action: [0.19894402 0.27983403]
Actor Node | Step: 10400 | Output Action: [0.2543538  0.02509724]
Actor Node | Step: 10500 | Output Action: [-0.0339953 -0.8862753]
Actor Node | Step: 10600 | Output Action: [-0.5124249   0.62665313]
Actor Node | Step: 10700 | Output Action: [-0.72926354 -0.60210717]
Actor Node | Step: 10800 | Output Action: [-0.63599986 -0.23610355]
Actor Node | Step: 10900 | Output Action: [-0.01000693 -0.37127957]
Actor Node | Step: 11000 | Output Action: [-0.23380668  0.17379169]
Actor Node | Step: 11100 | Output Action: [-0.94022346 -0.59732497]
Actor Node | Step: 11200 | Output Action: [1. 1.]
Actor Node | Step: 11300 | Output Action: [-0.36037078 -0.44739076]
Actor Node | Step: 11400 | Output Action: [-0.623747   -0.10161494]
Actor Node | Step: 11500 | Output Action: [-0.58330244  0.29249606]
Actor Node | Step: 11600 | Output Action: [-1.          0.98556966]
Actor Node | Step: 11700 | Output Action: [-0.699938   -0.26517814]
Actor Node | Step: 11800 | Output Action: [-0.4412527  -0.89099765]
Actor Node | Step: 11900 | Output Action: [-0.41655022 -0.8054534 ]
Actor Node | Step: 12000 | Output Action: [-1.          0.28259888]
Actor Node | Step: 12100 | Output Action: [-0.38274223 -0.7609777 ]
Actor Node | Step: 12200 | Output Action: [ 0.86500335 -0.09867611]
Actor Node | Step: 12300 | Output Action: [-0.8373897 -1.       ]
Actor Node | Step: 12400 | Output Action: [-1.          0.13062976]
Actor Node | Step: 12500 | Output Action: [-0.03239707 -0.28508618]
Actor Node | Step: 12600 | Output Action: [-0.09685101 -0.9916133 ]
Actor Node | Step: 12700 | Output Action: [0.28751063 0.85136855]
Actor Node | Step: 12800 | Output Action: [ 0.43939433 -0.4332034 ]
Actor Node | Step: 12900 | Output Action: [-0.3818728 -0.7874815]
Actor Node | Step: 13000 | Output Action: [-1.          0.50973433]
Actor Node | Step: 13100 | Output Action: [-0.32066724 -0.573743  ]
Actor Node | Step: 13200 | Output Action: [-0.09441537 -0.1602462 ]
Actor Node | Step: 13300 | Output Action: [ 0.50570714 -0.6756583 ]
Actor Node | Step: 13400 | Output Action: [-0.4890799  0.6684251]
Actor Node | Step: 13500 | Output Action: [-0.6247542  -0.24279675]
Actor Node | Step: 13600 | Output Action: [1.         0.00390609]
Actor Node | Step: 13700 | Output Action: [-0.88075674  0.3762222 ]
Actor Node | Step: 13800 | Output Action: [0.40251446 0.55619806]
Actor Node | Step: 13900 | Output Action: [-0.4149128  -0.14970733]
Actor Node | Step: 14000 | Output Action: [0.434204   0.13415574]
Actor Node | Step: 14100 | Output Action: [-0.21172898 -0.18647614]
Actor Node | Step: 14200 | Output Action: [-0.7511944  -0.48432338]
Actor Node | Step: 14300 | Output Action: [1.         0.44430447]
Actor Node | Step: 14400 | Output Action: [-0.06674358 -0.18913734]
Actor Node | Step: 14500 | Output Action: [-0.4534616 -0.41839  ]
Actor Node | Step: 14600 | Output Action: [-0.41552243 -0.29351696]
Actor Node | Step: 14700 | Output Action: [-0.79298 -1.     ]
Actor Node | Step: 14800 | Output Action: [-0.96655464  0.12563434]
Actor Node | Step: 14900 | Output Action: [-0.9375375  -0.27776137]
Actor Node | Step: 15000 | Output Action: [0.7714589  0.02275042]
Actor Node | Step: 15100 | Output Action: [-0.13364972 -0.15643692]
Actor Node | Step: 15200 | Output Action: [ 0.23305874 -0.4880855 ]
Actor Node | Step: 15300 | Output Action: [-0.4313273  0.8422962]
Actor Node | Step: 15400 | Output Action: [-0.45809144 -0.02911908]
Actor Node | Step: 15500 | Output Action: [-0.32556373  0.33425105]
Actor Node | Step: 15600 | Output Action: [-0.3046195  -0.90346766]
Actor Node | Step: 15700 | Output Action: [ 0.338137   -0.22599526]
Actor Node | Step: 15800 | Output Action: [ 0.52202356 -0.17982374]
Actor Node | Step: 15900 | Output Action: [-0.4698129 -0.3400458]
Actor Node | Step: 16000 | Output Action: [-0.26746085  0.2638389 ]
Actor Node | Step: 16100 | Output Action: [-0.3017507   0.14222564]
Actor Node | Step: 16200 | Output Action: [ 0.58595985 -0.2766384 ]
Actor Node | Step: 16300 | Output Action: [-0.24040867  0.31826454]
Actor Node | Step: 16400 | Output Action: [ 0.79140186 -0.40220928]
Actor Node | Step: 16500 | Output Action: [0.04264303 0.6072894 ]
Actor Node | Step: 16600 | Output Action: [-0.5598567   0.63089573]
Actor Node | Step: 16700 | Output Action: [0.03871033 0.15684475]
Actor Node | Step: 16800 | Output Action: [0.11958433 0.13180591]
Actor Node | Step: 16900 | Output Action: [-0.41408277 -0.18927453]
Actor Node | Step: 17000 | Output Action: [ 0.07499156 -0.0169189 ]
Actor Node | Step: 17100 | Output Action: [-0.64191896 -0.9906093 ]
Actor Node | Step: 17200 | Output Action: [0.29649758 0.1075628 ]
Actor Node | Step: 17300 | Output Action: [0.19956286 0.23885882]
